[t],t,t,[m],m,m,[ə],g,g,[a],a,a,,beriŋin,surat,Surat Beringin,,,,,
[u],u,u,[n],n,n,[ə],h,h,[b],b,b,,,,,,,,,
[w],w,w,[o],o,o,[i],i,i,[ʧ],c,c,,,,,,,,,
[j],y,y,[p],p,p,[ʤ],j,j,[d],d,d,,,,,,,,,
[ŋ],ng,ŋ,[r],r,r,[k],k,k,[e],e,e,,,,,,,,,
[ɲ],ny,X,[s],s,s,[l],l,l,[ə],e/a,E,,,,,,,,,

Punctuation (Ngaji),,,,,,Affixation (Imbuhan),,,,,,,,,,,,,,
,(,(,,.,.,[mə(n)],me(n)-,M,[an], -an,A,,,,,,,,,
,),),,",",",",[kan], -kan,N,[bə(r)],be(r)-,B,,,,,,,,,
,"""","""",,?,?,[pə(n)],pe(n)-,P,[di],di-,D,,,,,,,,,
,*,/,,!,!,[sə],se-,S,[kah], -kah,H,,,,,,,,,
,,,,;,;,[tə(r)],te(r)-,T,[kə],ke-,K,,,,,,,,,
,,,,:,:,[ɲa], -nya,Y,[lah], -lah,L,,,,,,,,,

,,,,,,,Number Notation (Tanda bilangan),,,,,,,,,,,,,
,,,,,,8,8,4,4,0,0,,,,,,,,,
,,,,,,9,9,5,5,1,1,,,,,,,,,
,,,,,,,,6,6,2,2,,,,,,,,,
,,,,,,,,7,7,3,3,,,,,,,,,




English,Beka Melayu,Beka Melayu (Surat Beringin script)
Welcome,Senang datang,senang datang
Hello,Kepersenangan,kepersenangan
How are you?,Apa keadaan tuan?,apa keadaan tuan?
Reply to 'How are you?',Baik hamba,baik hamba
Long time no see,Lama tidak bertemu,lama tidak bertemu
What's your name?,Apa ngadan tuan?,apa ngadan tuan?
My name is ...,Ngadan hamba si ...,ngadan hamba si ...
Where are you from?,Dari mana datang tuan?,dari mana datang tuan?
I'm from ...,Dari ... hamba,dari ... hamba
Pleased to meet you,Senang bertemu tuan,senang bertemu tuan
Good morning,Senang pagi,senang pagi
Good afternoon,Senang tengahari,senang tengahari
Good evening,Senang petang,senang petang
Good night,Senang malam,senang malam
Goodbye,Baik-baik tinggal,baik-baik tinggal
Bon appetit / Have a nice meal,Baik-baik makan,baik-baik makan
Bon voyage / Have a good journey,Baik-baik jalan,baik-baik jalan
Yes,Auh,auh
No,Tidak,tidak
Maybe,Agaknya,agaknya
Do you understand?,Dapat tangkapkah tuan?,dapat tangkapkah tuan?
I understand,Dapat tangkap hamba,dapat tangkap hamba
I don't understand,Tidak dapat tangkap hamba,tidak dapat tangkap hamba
Please speak more slowly,Tolong dengan perlahan cakap,tolong dengan perlahan cakap
Please say that again,Tolong ulang cakap itu,tolong ulang cakap itu
Please write it down,Tolong tuliskannya,tolong tuliskannya
